,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
6,UNITED KINGDOM,HUNTERSTON A-2,GCR,Permanent Shutdown,1970,1320.5,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=270
7,UNITED KINGDOM,HUNTERSTON A-2,GCR,Permanent Shutdown,1971,1288.3,8719.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=270
8,UNITED KINGDOM,HUNTERSTON A-2,GCR,Permanent Shutdown,1972,1146.7,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=270
9,UNITED KINGDOM,HUNTERSTON A-2,GCR,Permanent Shutdown,1973,969.0,8717.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=270
10,UNITED KINGDOM,HUNTERSTON A-2,GCR,Permanent Shutdown,1974,1063.8,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=270
11,UNITED KINGDOM,HUNTERSTON A-2,GCR,Permanent Shutdown,1975,1111.6,8691.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=270
12,UNITED KINGDOM,HUNTERSTON A-2,GCR,Permanent Shutdown,1976,1107.0,8904.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=270
13,UNITED KINGDOM,HUNTERSTON A-2,GCR,Permanent Shutdown,1977,1093.0,8697.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=270
14,UNITED KINGDOM,HUNTERSTON A-2,GCR,Permanent Shutdown,1978,1064.65,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=270
15,UNITED KINGDOM,HUNTERSTON A-2,GCR,Permanent Shutdown,1979,1049.0,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=270
16,UNITED KINGDOM,HUNTERSTON A-2,GCR,Permanent Shutdown,1980,1044.5,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=270
17,UNITED KINGDOM,HUNTERSTON A-2,GCR,Permanent Shutdown,1981,944.3,8830.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=270
18,UNITED KINGDOM,HUNTERSTON A-2,GCR,Permanent Shutdown,1982,923.7,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=270
19,UNITED KINGDOM,HUNTERSTON A-2,GCR,Permanent Shutdown,1983,1059.5,8688.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=270
20,UNITED KINGDOM,HUNTERSTON A-2,GCR,Permanent Shutdown,1984,1083.5,8712.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=270
21,UNITED KINGDOM,HUNTERSTON A-2,GCR,Permanent Shutdown,1985,1121.3,8697.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=270
22,UNITED KINGDOM,HUNTERSTON A-2,GCR,Permanent Shutdown,1986,1144.6,8646.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=270
23,UNITED KINGDOM,HUNTERSTON A-2,GCR,Permanent Shutdown,1987,1132.3,8567.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=270
24,UNITED KINGDOM,HUNTERSTON A-2,GCR,Permanent Shutdown,1988,992.95,8652.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=270
25,UNITED KINGDOM,HUNTERSTON A-2,GCR,Permanent Shutdown,1989,1013.05,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=270
