,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
5,UNITED KINGDOM,HINKLEY POINT A-1,GCR,Permanent Shutdown,1970,1041.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=271
6,UNITED KINGDOM,HINKLEY POINT A-1,GCR,Permanent Shutdown,1971,343.3,6087.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=271
7,UNITED KINGDOM,HINKLEY POINT A-1,GCR,Permanent Shutdown,1972,1434.15,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=271
8,UNITED KINGDOM,HINKLEY POINT A-1,GCR,Permanent Shutdown,1973,1157.35,8211.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=271
9,UNITED KINGDOM,HINKLEY POINT A-1,GCR,Permanent Shutdown,1974,1522.0,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=271
10,UNITED KINGDOM,HINKLEY POINT A-1,GCR,Permanent Shutdown,1975,1495.5,8604.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=271
11,UNITED KINGDOM,HINKLEY POINT A-1,GCR,Permanent Shutdown,1976,1599.5,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=271
12,UNITED KINGDOM,HINKLEY POINT A-1,GCR,Permanent Shutdown,1977,1623.5,8697.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=271
13,UNITED KINGDOM,HINKLEY POINT A-1,GCR,Permanent Shutdown,1978,1591.5,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=271
14,UNITED KINGDOM,HINKLEY POINT A-1,GCR,Permanent Shutdown,1979,1394.5,8698.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=271
15,UNITED KINGDOM,HINKLEY POINT A-1,GCR,Permanent Shutdown,1980,1541.5,8707.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=271
16,UNITED KINGDOM,HINKLEY POINT A-1,GCR,Permanent Shutdown,1981,1542.5,8601.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=271
17,UNITED KINGDOM,HINKLEY POINT A-1,GCR,Permanent Shutdown,1982,1606.0,8708.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=271
18,UNITED KINGDOM,HINKLEY POINT A-1,GCR,Permanent Shutdown,1983,1649.0,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=271
19,UNITED KINGDOM,HINKLEY POINT A-1,GCR,Permanent Shutdown,1984,1717.0,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=271
20,UNITED KINGDOM,HINKLEY POINT A-1,GCR,Permanent Shutdown,1985,1758.53,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=271
21,UNITED KINGDOM,HINKLEY POINT A-1,GCR,Permanent Shutdown,1986,1778.73,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=271
22,UNITED KINGDOM,HINKLEY POINT A-1,GCR,Permanent Shutdown,1987,1854.7,8904.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=271
23,UNITED KINGDOM,HINKLEY POINT A-1,GCR,Permanent Shutdown,1988,1821.69,8568.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=271
24,UNITED KINGDOM,HINKLEY POINT A-1,GCR,Permanent Shutdown,1989,1378.01,8092.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=271
25,UNITED KINGDOM,HINKLEY POINT A-1,GCR,Permanent Shutdown,1990,1324.98,8354.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=271
26,UNITED KINGDOM,HINKLEY POINT A-1,GCR,Permanent Shutdown,1991,1428.71,8650.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=271
27,UNITED KINGDOM,HINKLEY POINT A-1,GCR,Permanent Shutdown,1992,1060.14,8794.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=271
28,UNITED KINGDOM,HINKLEY POINT A-1,GCR,Permanent Shutdown,1993,1711.71,8428.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=271
29,UNITED KINGDOM,HINKLEY POINT A-1,GCR,Permanent Shutdown,1994,1630.7,7691.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=271
