,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
13,UNITED KINGDOM,CHAPELCROSS-1,GCR,Permanent Shutdown,1972,482.52,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=252
14,UNITED KINGDOM,CHAPELCROSS-1,GCR,Permanent Shutdown,1973,391.68,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=252
15,UNITED KINGDOM,CHAPELCROSS-1,GCR,Permanent Shutdown,1974,389.5,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=252
16,UNITED KINGDOM,CHAPELCROSS-1,GCR,Permanent Shutdown,1975,374.75,8757.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=252
17,UNITED KINGDOM,CHAPELCROSS-1,GCR,Permanent Shutdown,1976,380.9,8072.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=252
18,UNITED KINGDOM,CHAPELCROSS-1,GCR,Permanent Shutdown,1977,344.05,7408.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=252
19,UNITED KINGDOM,CHAPELCROSS-1,GCR,Permanent Shutdown,1978,356.1,7616.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=252
20,UNITED KINGDOM,CHAPELCROSS-1,GCR,Permanent Shutdown,1979,329.5,6959.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=252
21,UNITED KINGDOM,CHAPELCROSS-1,GCR,Permanent Shutdown,1980,324.0,6790.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=252
22,UNITED KINGDOM,CHAPELCROSS-1,GCR,Permanent Shutdown,1981,328.5,7091.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=252
23,UNITED KINGDOM,CHAPELCROSS-1,GCR,Permanent Shutdown,1982,344.25,7475.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=252
24,UNITED KINGDOM,CHAPELCROSS-1,GCR,Permanent Shutdown,1983,358.0,7727.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=252
25,UNITED KINGDOM,CHAPELCROSS-1,GCR,Permanent Shutdown,1984,330.25,6991.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=252
26,UNITED KINGDOM,CHAPELCROSS-1,GCR,Permanent Shutdown,1985,356.6,8365.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=252
27,UNITED KINGDOM,CHAPELCROSS-1,GCR,Permanent Shutdown,1986,362.82,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=252
28,UNITED KINGDOM,CHAPELCROSS-1,GCR,Permanent Shutdown,1987,367.8,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=252
29,UNITED KINGDOM,CHAPELCROSS-1,GCR,Permanent Shutdown,1988,359.35,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=252
30,UNITED KINGDOM,CHAPELCROSS-1,GCR,Permanent Shutdown,1989,342.05,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=252
31,UNITED KINGDOM,CHAPELCROSS-1,GCR,Permanent Shutdown,1990,356.88,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=252
32,UNITED KINGDOM,CHAPELCROSS-1,GCR,Permanent Shutdown,1991,339.23,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=252
33,UNITED KINGDOM,CHAPELCROSS-1,GCR,Permanent Shutdown,1992,360.65,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=252
34,UNITED KINGDOM,CHAPELCROSS-1,GCR,Permanent Shutdown,1993,380.23,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=252
35,UNITED KINGDOM,CHAPELCROSS-1,GCR,Permanent Shutdown,1994,387.95,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=252
36,UNITED KINGDOM,CHAPELCROSS-1,GCR,Permanent Shutdown,1995,385.93,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=252
37,UNITED KINGDOM,CHAPELCROSS-1,GCR,Permanent Shutdown,1996,389.4,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=252
