,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
8,UNITED KINGDOM,BERKELEY-2,GCR,Permanent Shutdown,1970,1308.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=265
9,UNITED KINGDOM,BERKELEY-2,GCR,Permanent Shutdown,1971,1276.85,8809.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=265
10,UNITED KINGDOM,BERKELEY-2,GCR,Permanent Shutdown,1972,1135.0,8700.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=265
11,UNITED KINGDOM,BERKELEY-2,GCR,Permanent Shutdown,1973,1046.85,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=265
12,UNITED KINGDOM,BERKELEY-2,GCR,Permanent Shutdown,1974,984.0,8665.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=265
13,UNITED KINGDOM,BERKELEY-2,GCR,Permanent Shutdown,1975,986.5,8693.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=265
14,UNITED KINGDOM,BERKELEY-2,GCR,Permanent Shutdown,1976,989.5,8904.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=265
15,UNITED KINGDOM,BERKELEY-2,GCR,Permanent Shutdown,1977,916.5,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=265
16,UNITED KINGDOM,BERKELEY-2,GCR,Permanent Shutdown,1978,723.5,8602.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=265
17,UNITED KINGDOM,BERKELEY-2,GCR,Permanent Shutdown,1979,738.5,8702.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=265
18,UNITED KINGDOM,BERKELEY-2,GCR,Permanent Shutdown,1980,616.5,8676.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=265
19,UNITED KINGDOM,BERKELEY-2,GCR,Permanent Shutdown,1981,97.5,1631.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=265
20,UNITED KINGDOM,BERKELEY-2,GCR,Permanent Shutdown,1982,122.0,3266.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=265
21,UNITED KINGDOM,BERKELEY-2,GCR,Permanent Shutdown,1983,379.5,8368.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=265
22,UNITED KINGDOM,BERKELEY-2,GCR,Permanent Shutdown,1984,395.0,7795.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=265
23,UNITED KINGDOM,BERKELEY-2,GCR,Permanent Shutdown,1985,515.39,6934.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=265
24,UNITED KINGDOM,BERKELEY-2,GCR,Permanent Shutdown,1986,399.0,6522.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=265
25,UNITED KINGDOM,BERKELEY-2,GCR,Permanent Shutdown,1987,478.77,8349.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=265
26,UNITED KINGDOM,BERKELEY-2,GCR,Permanent Shutdown,1988,542.75,6776.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=265
